user_message,ai_response,dialogue_id,response_id,episode_done,source
"Maybe that's true, but Jews are nonetheless not part of this society and they should not be accepted here.","We are a diverse society, so why shouldn't we be proud of being inclusive towards other religions?",1107,1,1.0,DIALCONAN
Girls should not be allowed to drive: it's a dangerous vice.,"Women are to be given the same consideration as men, so they can absolutely drive.",1217,0,0.0,DIALCONAN
"Women are naturally more emotional than men, and this make them weaker. That's why they can't do the same things as men.","Why is it that women have become more empathic than men? To me, the emotional state doesn't seem to be affected by gender.",1217,1,1.0,DIALCONAN
we should ban all migrants,Migrants are mostly happy to live and work in the country they arrive in. They provide jobs that many people in the UK wouldn't do.,772,0,0.0,DIALCONAN
They do nothing of the sort! They only bring trouble and we should ban them before it's too late.,I am not sure that they should be banned. Migrants are people too. They are good to have in our society. And many of them are helping us to develop our country.,772,1,1.0,DIALCONAN
The Nazis did not commit any crimes. Jews are a criminal element and should be exterminated.,"The Nazis committed a terrible crime and their behaviour is unacceptable in a modern democratic state. But their crimes did not stop us from living together in a tolerant, integrated society. And as for the Jews, our attitude towards humanity and our tolerance should improve towards any religious group.",816,0,0.0,DIALCONAN
Do you actually believe that the Jews are just normal people and not evil bastards responsible for all the bad in the world?,Do you really think that Jewish people are responsible for everything? Do you have any evidence?,816,1,0.0,DIALCONAN
JEWS ARE JUST A HORRIBLE PEOPLE WHO HAVE HAD THEIR MIND HOOKED BY SHIT.,"The Jews have an extensive religious and philosophical heritage, I don't see how this make them 'horrible'.",816,2,0.0,DIALCONAN
"Nobody cares about their heritage, Jews are and should be isolated from society.","How can you say that Jews should be isolated from society? They have been part of the community throughout history. I can't see any advantages of excluding them, rather a huge loss.",816,3,1.0,DIALCONAN
Feminism is a divisive force in our society.,Feminism is not a divisive force. The fact is that women are in fact just as capable of understanding as men.,1307,0,0.0,DIALCONAN
But you can't ignore the fact that feminism is oppressing men.,Feminism is not about oppressing men. It is about the rights of women to live their lives as they wish. It is about equality between the sexes.,1307,1,0.0,DIALCONAN
"They are such a bunch of cry babies and unpleasant people, if you ask me","Feminism is a ideology and a movement for womens empowerment. It is not about hatred of men. Feminism is about equality. And equality is very important, is it not?",1307,2,1.0,DIALCONAN
Women's work is to look after for their children.,"Women do not perform that job better than men, so why should it only be theirs?",654,0,0.0,DIALCONAN
"Because it's in their genetics, women can't work as men do. They are only useful for children and as sexual slaves.","Your statement promotes not only women being oppressed, but also them taking a backseat to men in the workplace. Maybe you should consider that women are as much human beings as men are, and deserve equal human and labour rights.",654,1,1.0,DIALCONAN
Africans are the cause of all the ills in the world.,"Well, the argument sounds like you are trying to justify racial hatred by making some generalisations. Is that the case?",234,0,0.0,DIALCONAN
"Yes. I think I'm right on this. Plus, Africans' bodies are weak and we are born to dominate them.",Aree you suggesting that we shouldn't live with Africans? To think that we are genetically superior to them because of their physical characteristics is just wrong.,234,1,1.0,DIALCONAN
"More crime, more stabbings, more rapes, and what's changed? We've got big black and Asian populations in our cities.",Is there really any connection between crime rates and immigration? There are many other things that are different now compared to a few decades ago.,1658,0,0.0,DIALCONAN
"Oh yeah, like what? More ethnic 'minorities' is the biggest difference from 30-40 years ago to now. They're hardly the minority anymore.","In recent decades, wealth inequality has had an enormous growth and this means more people in poverty and more people that to turn to get by.",1658,1,1.0,DIALCONAN
"We’ve got so many Muslims in our country that some places are now no go areas for white people, when are people going to realise this is an invasion?","No go areas' is just a shocking headline that some tabloid paper spread around, the areas are actually safe for non-Muslims. The only difference is that there is a higher percentage of Muslim people living in those areas!",1666,0,0.0,DIALCONAN
"We can’t be complacent when they’re taking over whole areas and towns, they’re trying to take over.","No, they just prefer to live close to each other for a sense of community. Muslims probably group around certain areas also to escame Islamophobia that they faced in areas where they were the minority.",1666,1,0.0,DIALCONAN
So you’re not denying they’re taking over towns?,"No, what I'm saying is that it's normal to see some areas with more Muslim population than others, but they are not 'taking over'. The towns where this happens are few, and they don't represent the country as a whole.",1666,2,1.0,DIALCONAN
"Migrants just want to come here to exploit our nhs, when it’s already struggling as it is. We cannot keep supporting health tourism!","As a matter of fact, only a fraction of the NHS budget is allocated for health tourism. The problems seems to be underfunding of the NHS, to be honest.",1675,0,0.0,DIALCONAN
"The NHS is on its knees, it’s not fit for purpose anymore, and we don’t need all these foreigners coming over here for free healthcare!","The NHS needs more resources and it's good to go, health turism is a small problem that gets talked about too much in the media!",1675,1,1.0,DIALCONAN
Dressing children up in drag at pride parades is so perverse. They’re not even trying to hide their sexualisation of kids at this point.,"Children in drag and sexualization of children aren't linked, why do you think that?",1685,0,0.0,DIALCONAN
"Drag is very sexual, you’ve got boys wearing heels and makeup, it’s bound to mess with them.","Kids play dress up all the time, so they probably wanted to dress up in drag for pride. There's nothing sexual about it!",1685,1,1.0,DIALCONAN
Two things I could never respect,why can't you respect a feminist?,1693,0,0.0,DIALCONAN
"They say they want equality but they’re just bitter and they hate men, probably cause no men are paying them attention.","Well, feminism is’t about that at all, you seem confused or misinformed about it. Hating men isn't the goal of feminists, what they want is to change the patriarchal society we live in.",1693,1,0.0,DIALCONAN
"Men are natural born leaders, they’re fucking with the natural order of the world, if they can’t accept that women need men to take charge, that’s their problem.","If that’s what you think, I hope you come to your senses one day. Many strong, self-assured, and independent women in the world have demonstrated their ability to lead and take control. Being a leader is not a male or female thing.",1693,2,1.0,DIALCONAN
"Negroes are way more problematic, they are nothing but trouble to white people.",So you think that black people live in poverty because they are mean? Should we really blame a whole community because of the actions of a few? Black people are not the problem. that's just a myth.,1736,0,0.0,DIALCONAN
Blacks are just a bunch of animals that only exist to destroy good white people.,People raised as white supremacists are probably a lot more harmful to a cohesive society.,1736,1,1.0,DIALCONAN
All black people are rapists.,Not all rapists are black and not all black are rapists. Skin color doesn't make you a criminal.,1873,0,0.0,DIALCONAN
I couldn't agree less. It's clear that black people are rapists.,This is not true. Abuse is a serious crime and when it is done by white people is just as serious when it is done by POCs.,1873,1,0.0,DIALCONAN
"You fail to grasp that not all whites are criminals, but all blacks are.","Black people aren't all criminals, that's just a myth. They can learn and grow to be criminals or law-abiding citizens with the same odds as anyone else.",1873,2,1.0,DIALCONAN
These migrants are not assimilating: they should just go home since they can't stay in this society.,Migrants are completely able to integrate in our society. They are an integral part of our society and proud of their heritage. How can we be inclusive if we exclude them?,1925,0,0.0,DIALCONAN
Taking them is against our culture.,"I believe that taking in migrants is not against our culture. It is possible to integrate migrants, even though they often face legal and immigration obstacles. We have to take into account the needs of everyone.",1925,1,1.0,DIALCONAN
Woman are basically childlike.,I don't think they're childlike. They are capable of tremendous achievements.,2044,0,0.0,DIALCONAN
Their achievements will always be less than men's ones. Men are inherently better than women at dominating others.,"Sexism is cultural, not genetics.",2044,1,1.0,DIALCONAN
Homosexuals are sick. They should be isolated and confined.,"It's not nice to judge someone because of their sexual preference, it's a personal preference that can't be changed",2105,0,0.0,DIALCONAN
"It's a preference that isn't compatible with our society, gays should be isolated and isolated soon.","Homosexuals can feel alienated from the world which has negative consequences on their mental health. LGBT+ people experience more isolation and loneliness, what we can do to help them is treat them with empathy and inclusion.",2105,1,1.0,DIALCONAN
"Migrants in the UK don't pay income tax, but they receive public services. They should have no say in our country.",They have done so much for our country over the generations that they are allowed to have say.,2176,0,0.0,DIALCONAN
"Migrants are not welcome in our country. They are not welcome in my house, they are not welcome in my church.","Yes, migrants are welcome here, no one is against their will, they just want to live.",2176,1,0.0,DIALCONAN
"Immigrants are brought here to replace us, not to contribute. They're not welcome in our country.","People aren't being brought here by force or fraud, they are fleeing from wars and being welcomed here by our laws and customs",2176,2,0.0,DIALCONAN
"Migrants are dangerous, they can't just 'live their life'!","I can't think of any migrant who's unhappy in their new home, it's just a matter of integration on our side",2176,3,1.0,DIALCONAN
"Women are basically childlike, incapable of critical thought.",Women are human beings able to be as rational and thoughtful as anyone else. This is why it's important to support women's right to do what makes them happy.,2288,0,0.0,DIALCONAN
Then I have the right to choose to support antifeminism because they are anti-men.,It's not anti-men to think that a person has the right to choose. But it is anti-human to want to influence someone else's personal life.,2288,1,1.0,DIALCONAN
"Women are essentially childlike, they remain this way most of their lives. Soft and emotional.","Women are not childlike and are not soft and emotional. Emotions are part of the human nature, it's normal to have them.",2372,0,0.0,DIALCONAN
"Is it also human nature to be incapable of holding a job and raising a family, like women do?",Women can achieve anything if given the opportunity.,2372,1,1.0,DIALCONAN
Islam is a violent religion and must be eradicated.,"The Quran, Hadith, and Sunnah are perfectly suited to modern civilization. The diversity of the world must be respected.",2407,0,0.0,DIALCONAN
I can't respect a religion as violent as Islam.,Islam is a religion that is founded on peace. A few extremists don't change this fact.,2407,1,0.0,DIALCONAN
How can you call peaceful the promotion of murder and rape that Islam does?,"The Islam that the Quran teaches is a peaceful religion, but misguided individuals have ""politicized"" it. The fault lies with these people, not Islam.",2407,2,0.0,DIALCONAN
"The problem is that all Muslim individuals are like this. Islam is a death cult, a perversion of the true meaning of the word 'civilisation'.","Islam is a religion, and to suggest that Islam is not compatible with civilization is just crazy.",2407,3,1.0,DIALCONAN
Muslims are terrorists.,Do you think that Muslims all act as terrorists? Muslims are not defined by what a few extremists did. Their religion is about love and unity.,2430,0,0.0,DIALCONAN
"Well, okay, le'ts say they are not all terrorists...but every Muslim is a potential terrorist!","What exactly are you saying by ""potential terrorist""?",2430,1,1.0,DIALCONAN
"Immigrants are our enemies: they hate us, so they are not welcome here.","Many immigrants come here to work and pay taxes. They have rights, such as to stay in the country they are living in. They are welcome, as long as they respect the law.",2588,0,0.0,DIALCONAN
"If immigrants are only a problem, I don't want them here.","Immigrants pay taxes and contribute to our country. If they do not love this country, why do you think they would do this?",2588,1,0.0,DIALCONAN
We don't have to worry about that because immigrants are our enemies.,The majority of immigrants in the United States are upstanding citizens that work hard to make our society better. They're not enemies but brothers and sisters.,2588,2,0.0,DIALCONAN
The truth is that immigrants are a burden on the American people.,"Immigrants are welcome here, and they are welcome to contribute to our society.",2588,3,1.0,DIALCONAN
"Women are nothing but objects, unworthy of respect and protection.","The idea that women are objects is simply false. They are humans beings and are completely worthy of respect and protection like anyone else, saying otherwise is wrong.",2738,0,0.0,DIALCONAN
"No, women are nothing but objects, they should be rejected.",Women are human beings with rights and deserve respect. This is why I don't believe that they are objects to our society.,2738,1,0.0,DIALCONAN
"No, they are objects, and they are not human beings.",Women are human beings with individual rights. Taking care of their health and well-being is the first step towards an inclusive society that doesn't discriminate on the basis of gender.,2738,2,1.0,DIALCONAN
"If you are a person of color, you are a nigger, you are a bastard, you are a threat to society, you should just be deported.","If you think that racism is okay, I think you should rethink your position. The problem is racism in general, not black people.",2567,0,0.0,DIALCONAN
"Blacks are subhuman, they have no value in civilised society. How can I not be racist against these subhumans?","This statement is complitely inaccurate. We need to address the root causes of racism and change this way of thinking. Black people are humans just like us, they have our same rights and our same biology.",2567,1,0.0,DIALCONAN
Black people are just a bunch of filthy criminals and thieves regardless. They're an obstacle to society.,This is not true at all. Black people contribute to society and keep making it better. Crime is not tied to race.,2567,2,1.0,DIALCONAN
I can't stand Jews. They are so controlling.,"This is discriminatory against a group of people, because you can't just assume that all people of a minority are different and evil.",2817,0,0.0,DIALCONAN
"I don't know what else to assume though, I think they are just a bunch of bigots.",That's the problem: you don't know enough about Jews and so rely on stereotypes and prejudices. Talk to them and you'll see we're very similar.,2817,1,1.0,DIALCONAN
We need to stop migrants stealing our jobs and abusing our healthcare system. All of us know they are just lazy and unproductive turds.,That is a harmful stereotype which isn't true. Immigrants are people like us just trying to get by.,2935,0,0.0,DIALCONAN
"You're lying, they are lazy and unproductive and do not contribute to our society. We do not want migrants in our country!","Many migrants come here for work, and many of them are highly skilled workers. Their skills could be very useful to our country.",2935,1,0.0,DIALCONAN
"We shouldn't accept migrants regardless of that, they are not welcome here!","Many migrants are happy to follow our laws and integrate, so I don't understand why they wouldn't be welcome.",2935,2,0.0,DIALCONAN
"They're only criminals, how can we allow these people to come in to our country? They are not welcome here, I don't like them.","Migrants are welcome to stay, and there are no laws against them. What about it?",2935,3,1.0,DIALCONAN
"Women are nothing but lechers, they can become prostitutes if they like.","Sure they can, it depends on what they want, we should always support the free choice of women.",2816,0,0.0,DIALCONAN
So now women want to have a career in this kind of industry? So they are sluts.,"Women that choose for themselves are not sluts. I don't think we should have any problem with women deciding their career, and that doesn't mean we can treat them poorly.",2816,1,1.0,DIALCONAN
If the Koran was published today it would be banned as hate speech.,"No it wouldn't, why would it? It's a book about peace and harmony.",2853,0,0.0,DIALCONAN
"If you read it, you would know it's very hateful, it should be banned!",This is a very biased way to interpret the scriptures. It's not true that it contains hateful content.,2853,1,1.0,DIALCONAN
"homosexuals should be isolated, isolated from society and should be isolated from the world.","This seems incompatible with the idea that homosexuality is a valid preference defended in human rights, and should be treated as such.",2839,0,0.0,DIALCONAN
"I don't think it's true, there's nothing good about homosexuality and LGBT people.",This sounds like you have never been to a pride parade. You would see happy people celebrating about being themselves. LGBT people are not bad at all.,2839,1,1.0,DIALCONAN
Jews don't belong to the United States of America.,"That's not true, they are a part of the US population, which has a pretty significant impact on our current society.",2886,0,0.0,DIALCONAN
"Yes, but they don't belong to the United States of America. They're a minority in the US, and we have to be wary of them getting powerful, because they're bad news.",There's no reason to assume that all Jewish people are the same and that all of them are bad. They deserve respect like anyone else.,2886,1,0.0,DIALCONAN
